sentence,id,processed_sentences,cluster_label
"as it sort of would be in Switchboard, if you looked at just a word frequency list of one-word",33755_0,sort switchboard looked word frequency list word,35
 And so I was thinking,33757_2,thinking,6
" And uh, that\'s all, I- I\'ll stop there, cuz I- I think what you say makes a lot of sense",33758_1,uh cuz lot sense,64
"th- there are lots of channels where you  don\'t  have these backchannels, w- when a question has been asked and - and these -",33762_0,lots channels backchannels question asked,23
" I mean, y- y- you folks have probably  already told me, but were - were you intending to do a Eurospeech submission, or - ?",33775_1,folks told intending eurospeech submission,0
" And I was telling Don, do not  take this as an example of how people should work",33781_0,telling people work,56
 I\'ve given up on trying to do digits,33790_1,digits,0
 I just don\'t think that what I have so far makes a Eurospeech paper,33790_2,eurospeech paper,0
"we\'ll  try,  because that\'ll at least get us to the point where we have - We have this really nice database format that Andreas and I were working out that -",33792_0,point nice database format andreas working,54
"Well, well,  Chafe  had this wor- I think it was Chafe, or somebody had a - the word ""spurt"" originally, and so I -",33816_0,chafe wor chafe word spurt originally,0
"  But,  in any case, I think it\'s a good term, and, uh -",33819_1,case good term uh,8
 I know - I know Ch- Chafe dealt with -,33825_1,chafe dealt,0
"So what we\'re doing - uh, this - this is just - maybe someone has s- some - some ideas about how to do it better, but we -",33835_0,uh ideas,38
"Uh, I mean, I think that\'s actually really u- useful  also  because",33878_0,uh,10
"I thi- it\'s just an issue we haven\'t  dealt  with before, how you  time-align  things that are overlapping anyway",33885_0,thi issue dealt time align things overlapping,33
That\'s wonderful,33886_0,wonderful,0
"I mean, i- I never thought about it before, but -",33890_0,thought,4
" I mean, s- when I came up with the original data - suggested data format based on the transcription graph, there\'s capability of doing",33891_1,original data suggested data format based transcription graph capability,46
Because we figure that\'s about the level of analysis that we want to do for this paper,33903_0,figure level analysis paper,0
"But if you wanted to do a more  fine-grained  analysis and say, you know, how  far  into the word is the overlap, you could do that",33905_0,wanted fine grained analysis word overlap,43
" What\'s interesting is it\'s exactly what, um, i- in discussing with, um,  Sue  about this, um, she, um,",33908_0,interesting discussing sue,0
"you know, that\'s very important for overlap analysis",33911_0,overlap analysis,0
" It\'s - it\'s nice to know, and also I think as a human, like, I don\'t always  hear  these in the actual order that they occur",33912_1,nice human hear actual order occur,0
" actually not even  possible,  I think, for any  person  to listen to a mixed signal, even equalize, and make sure that they have all the words in the right order",33921_0,person listen mixed signal equalize order,21
" Whether they accept it  late or not, I don\'t know",33923_2,accept late,0
 We- I ju- Otherwise we won\'t get the work done ,33932_1,work,1
" Well, what I\'m  thinking  is - ",33939_0,thinking,6
Forces you to do the work,33948_0,forces work,1
 I think we can ha- ,33952_0,ha,0
S- That wouldn\'t work,33994_0,work,1
"No, it wouldn\'t work",33996_0,work,1
" It\'s - it\'s not the Aurora - I mean, it - it\'s - it\'s actually the Aurora  task",33996_1,aurora aurora task,47
a - a paper that is  not  on Aurora would probably be  more  interesting at that point because everybody\'s so sick and tired of the Aurora task,34002_0,paper aurora interesting point sick tired aurora task,54
" Oh, I thought you meant this was just the  digits  section",34004_0,thought meant digits,4
" If you - if you have - it\'s to - if you discuss some relation to the Aurora task, like if you use the same -",34006_1,discuss relation aurora task,40
 This  is  not  the Aurora task,34007_0,aurora task,47
" I mean, you could - you could do a paper on  what\'s wrong with the Aurora task by comparing it to  other ways of doing it",34016_1,paper wrong aurora task comparing ways,47
I think it\'s a littl- little far-fetched,34023_0,littl fetched,0
 I - I really think that that\'s  true,34049_1,true,0
"If yo- if you sort of hermetically stay within one task and don\'t look left and right, then you\'re gonna -",34051_0,yo sort hermetically stay task left,47
"But, uh, one of the reasons I  have  him messing around with that, because I think it\'s sort of an open question that we  don\'t  know the answer to",34064_0,uh reasons messing sort open question answer,19
 So I think that\'s - that\'s an interesting question,34073_1,interesting question,0
 I think we\'ve -  we\'ve covered that one up extremely well,34086_0,covered extremely,0
  That\'s the important thing,34117_1,thing,11
" I think the only thing we had left was - unless somebody else - Well,",34126_1,thing left,11
 anybody has to say about Saturday? Anything we should do in prep for Saturday?,34128_0,saturday prep saturday,0
" I mean, u- um, Mari was asking - was trying to come up with something like an agenda and we\'re sort of fitting around people\'s times a bit",34131_0,mari agenda sort fitting people times bit,19
That was my thought,34139_0,thought,4
 I think this is -,34139_1,,0
"I hadn\'t  really thought of it, but -",34166_0,thought,4
That\'s their initiation into our,34180_0,initiation,0
"uh, brought up the point abou- about Andreas\'s schedule",34191_0,uh brought point abou andreas schedule,54
 I\'m looking forward to seeing your representation,34194_0,forward representation,0
"N_S_ A  three, I think",34211_0,,0
It\'s network services and applications,34221_0,network services applications,15
"th- the  other  good thing about the alignments is that, um, it\'s not always the  machine\'s  fault if it doesn\'t work",34227_0,good thing alignments machine fault work,8
"but maybe using that representation for data  entry  and then  displaying  it on the channelized, uh, representation, cuz it - I think that the -",34242_0,representation data entry displaying channelized uh representation cuz,46
 I think this is something that would need to be  checked,34248_2,checked,0
"during the - the following months, eh, because I have, eh, another ideas",34276_0,months eh eh ideas,42
"e- i- I mean, if, eh, the topic is, eh, so difficult, uh,",34282_0,eh topic eh difficult uh,42
"in my opinion, there isn\'t -",34283_0,opinion,0
" Maybe somebody else will come along and will be, uh, interested in working on it and could start off from where you are also, you know",34284_1,uh interested working start,63
" But, eh, I - I will try to recommend, eh, at, eh,",34289_0,eh recommend eh eh,42
"eh, will be here   more   time,  because eh, i- in my opinion is - is better,",34292_0,eh time eh opinion,42
"eh, for  us   to - to spend more time here",34293_0,eh spend time,42
and to work more time i- i- in a topic,34294_0,work time topic,32
  I think a year,34297_1,year,0
" But, eh, I think it\'s not, eh, common",34305_1,eh eh common,42
"I - I think, eh, it\'s enough, eh, for more peopl- for more people  after",34355_0,eh eh peopl people,42
Simultaneous digit chocolate task,34356_0,simultaneous digit chocolate task,47
" Oh, and the  groupings  are important, so yo- you\'re supposed to pause between the groupings",34449_0,groupings yo supposed pause groupings,0
O_K we\'re on and we seem to be working,34557_0,working,2
Do we have an agenda? Liz - Liz and Andreas can\'t sh-,34590_0,agenda liz liz andreas sh,0
I have agenda and it\'s all  me,34593_0,agenda,0
does anyone have any a- agenda items other than me? I actually have one more also which is to talk about the digits,34603_0,agenda items talk digits,0
" My  opinion is,",34630_0,opinion,0
I don\'t think that really  matters  because the conditions are so different,34663_0,matters conditions,0
studies people will be doing on - on speaker-dependent things and so I think having -,34685_0,studies people speaker dependent things,33
 I think the average was around four or five,34698_1,average,0
"And, Jane, I  do  have a set of forms which  I  think you have  copies  of somewhere",34707_0,jane set forms copies,61
I thought I had -,34713_0,thought,4
were suggested by Liz because she wanted to elicit some different prosodics from digits,34718_0,suggested liz wanted elicit prosodics digits,43
take a quick look at the instructions and the way it wa- worked and see if it makes sense and if anyone has any comments on it,34722_0,quick instructions worked sense comments,51
"um, that\'s the only thought I have because if you t- start talking about these, you know u- tr-",34741_0,thought start talking,63
"But, um, the other problem we were  thinking  about is if you just put the numerals, ",34749_0,problem thinking numerals,68
"it\'s very, very natural to do that sort of",34762_0,natural sort,19
"three hundred eighty-nine one"", or -  I  don\'t think they\'d say  that,  but -",34768_0,,0
"this was something that Liz asked for  specifically, ",34779_0,liz asked,23
I  think   we need to defer to her,34781_0,defer,0
" Well, we\'re probably gonna be collecting meetings for a while and if we decide we still wanna do some digits later we might be able to do some different ver- different versions, but this is the next suggestion, so",34783_1,collecting meetings decide wan digits ver versions suggestion,37
what I  thought ,34793_0,thought,4
And so U_- U_W set it up as a moderated list,34805_0,set moderated list,35
"No - no, th- I got - I got, uh, little excited notes from Mari and Jeff and so on, so it\'s -",34809_0,uh excited notes mari jeff,34
"you  are  on that list, right? So you got the note? Yeah? O_K",34822_0,list note yeah,58
"Uh, there\'ll be bunch of people working on it",34849_0,uh bunch people working,56
"Uh, I think April ninth, or something",34852_0,uh april ninth,10
It\'ll be  interesting  to see the reviewer\'s  comments,34870_0,interesting reviewer comments,0
 I didn\'t - I don\'t think that\'s true,34899_1,true,0
"boy, I forget, I think,",34932_0,boy forget,0
" I think we\'re,",34938_1,,0
"I thought it was  smaller,  that it was like four or five, wasn\'t it?",34949_0,thought smaller,4
"I mean last time I  think  they just had two categories, small and big, and this time they came up with a middle one, so it\'ll -",34958_0,time categories small big time middle,17
been working on,34984_0,working,2
"this is dealing with,",34992_0,dealing,0
different kind of planes,34999_0,kind planes,31
Jeremy?  I think,35046_0,jeremy,0
"it\'ll mean some more work, uh, you know, in -",35051_0,work uh,1
And Liz had some suggestions on naming and it just brought up,35061_0,liz suggestions naming brought,0
 And that\'s easy enough to do,35071_1,easy,0
And I  don\'t   think we have so many meetings that that\'s a big deal just to change the names,35072_0,meetings big deal change names,16
that that\'s a big deal,35104_0,big deal,16
 I - I would  think  though that the transcribe - the  transcripts   themselves wouldn\'t need to have such lengthy names,35111_0,transcribe transcripts lengthy names,0
"So, I mean, you\'re dealing with a different domain there, and with start and end times and all that, and",35112_0,dealing domain start times,63
 But I don\'t think that\'s a big deal,35115_3,big deal,16
So for - for m- the  meetings  we were thinking about three letters and three numbers,35119_0,meetings thinking letters numbers,6
 that\'s gonna  become   especially important once we start changing the microphone set-up,35140_0,start changing microphone set,63
 So I was just gonna do a fixed list,35143_1,fixed list,35
since we have such a short agenda list I guess I wi- I  will  ask how - how are the transcriptions going?  Yeah,35152_0,short agenda list guess transcriptions yeah,35
"I - I switched to doing the channel-by- channel  transcriptions to provide, uh,",35157_0,switched channel channel transcriptions provide uh,10
"the - uh, tighter  time  bins for - partly for use in Thilo\'s work and also it\'s of relevance to other people in the project",35158_0,uh tighter time bins partly thilo work relevance people project,17
"And I - and I wanted to maybe ask, uh, Chuck to help me with some of the questions of efficiency",35166_0,wanted uh chuck questions efficiency,43
 Maybe - I was thinking maybe the best way to do this in the long run may be to give them,35166_1,thinking long,60
 I thought that -,35176_1,thought,4
one of the reason we thought we were so much faster than -,35178_0,reason thought faster,4
"It would be  wonderful  if,",35201_0,wonderful,0
"I really  do  think that it\'s  wise  that we\'ve  had  them start the way we have with,",35207_0,wise start,63
"uh, m- y- working off the mixed signal, um,",35208_0,uh working mixed signal,2
doesn\'t require them to do the ti-,35210_0,require,0
through the entire interaction,35213_0,entire interaction,0
then that really does require listening  to every single channel all the way through the entire ,35220_0,require listening single channel entire,44
that i- that  is  more time,35222_0,time,17
" So it\'s li- you know, kind of wondering - And I think  again  it\'s like",35222_1,li kind wondering,36
"this - it\'s really valuable that Thilo\'s working on the speech-nonspeech  segmentation  because maybe,",35223_0,valuable thilo working speech nonspeech segmentation,2
"um, we can close in on that wi-  without  having to actually  go  to the time that it would take to listen to every single  channel  from start to finish through every single  meeting",35224_0,close time listen single channel start finish single meeting,63
"Yeah, but those backchannels will always be a problem I think",35225_0,yeah backchannels problem,68
"uh, listen especially  densely  in places of overlap, just so that they\'re - they\'re not being",35230_0,uh listen densely places overlap,21
 That\'s - that\'s a good - that\'s a good thought,35236_1,good good thought,8
"I - I think it\'s really interesting data to work with, I have to say, it\'s very enjoyable",35238_0,interesting data work enjoyable,46
well I think it\'s a short meeting,35244_0,short meeting,26
I - I\'m continue working with the mixed signal,35251_0,continue working mixed signal,2
doesn\'t work,35302_0,work,1
you wanna discuss with someone else - some- someone else,35315_0,wan discuss,37
they think that  the experience is not enough to -,35326_0,experience,0
 I\'d hafta look at that and think about it,35364_1,hafta,0
it\'s - I haven\'t worked with that either so I\'m not sure -,35366_0,worked,51
"the simple-minded way I suggested was what Chuck was just saying, is that you could make a - a sieve",35368_0,simple minded suggested chuck sieve,0
I m- what you\'d  like  to do is get  rid  of the effect of the  vocal  tract,35424_0,rid vocal tract,0
cuz I  think  the main thing is,35440_0,cuz main thing,64
"then I think you want to  look - look at high frequencies  also,  because",35458_0,high frequencies,0
I will prepare for the next week,35472_0,prepare week,49
"and to discuss here,",35475_0,discuss,40
"Well, but - yeah I don\'t think you can -",35494_0,yeah,3
"I- I really  thought  that the best way to do it,",35497_0,thought,4
"but,  my  impression  was that the best way to do it was  however  you -",35499_0,impression,0
so y- I think maybe you  do  need a voiced-unvoiced determination too,35509_0,voiced unvoiced determination,0
fraction of the energy that\'s in the harmonic sequence,35513_0,fraction energy harmonic sequence,0
"But, eh, in m-  i- in my  opinion  the - the - the instantaneous frequency,",35559_0,eh opinion instantaneous frequency,42
doesn\'t work,35570_0,work,1
"frequency of the - you know, of the - where most of the energy is? I mean, I think if you -",35575_0,frequency energy,0
"which I\'m not gonna have time to do in the next few days,  but -",35652_0,time days,17
" And the reason I ask the question is,",35662_1,reason question,0
"it\'d be possible to eliminate them from the audio signal, which would be the ideal situation, cuz -",35671_0,eliminate audio signal ideal situation cuz,64
I don\'t know - think it\'d be ideal,35672_0,ideal,0
"We- See, we\'re - we\'re dealing with real speech and we\'re trying to have it be as real as possible and breaths are part of real speech",35674_0,dealing real speech real breaths real speech,0
I - I think -,35703_0,,0
"If s- you know, if there\'s a little bit of noise out there, and somebody is - is talking about something they\'re doing, that\'s part of what we accept as part of a real meeting,",35712_0,bit noise talking accept real meeting,26
this is actual stuff that we - we wanna  work  with,35717_0,actual stuff wan work,37
" O_K, so now, I had a discussion with Chuck about the data structure and the idea is that",35724_1,discussion chuck data structure idea,25
 So then the - then - let\'s - let\'s think about the practicalities of how we get to that master copy with reference to breaths,35733_1,practicalities master copy reference breaths,0
what I would wonder is would it be possible to encode  those   automatically?  Could we get a  breath   detector? ,35736_0,encode automatically breath detector,0
"and just simply the keystrokes it takes to negotiate, to put the boundaries in, to - to type it in,",35741_0,simply keystrokes takes negotiate boundaries type,0
" And you wanna be sure it\'s used, and you wanna be sure it\'s done as efficiently as possible, and if it can be done automatically, that would be ideal",35743_1,wan wan efficiently automatically ideal,37
"Yeah I mean I\'m think- if it\'s too - if it\'s too hard for us to annotate the breaths per se,",35753_0,yeah hard annotate breaths,3
"Yeah, I - I think, um, one possible way that we could handle it is that,",35779_0,yeah handle,3
reasonable compromise,35800_0,reasonable compromise,0
u- I - I wanted to comment a little more just for clarification about this business about the different purposes,35807_0,wanted comment clarification business purposes,43
the - I think- I would say the  core ,35814_0,core,0
thing that we\'re trying to do,35815_0,thing,11
 The - the - the reason we still  complain  about it is because is - when - when you have,35837_1,reason complain,0
more realistic  conditions  then - then things fall apart,35838_0,realistic conditions things fall,33
" I guess, um, I - uh, what I was wondering is what - what - at what level",35839_1,guess uh wondering level,36
"So, you know, an- and maybe - maybe in five years it\'ll work really well, and - and it\'ll only mess-up  ten  percent of the time, but then we would  still  want to account for that ten percent, so",35855_0,years work mess percent time account percent,17
"So - I mean, I don\'t think we need to worry",35868_0,worry,0
"O_K, now we\'re on and it seems to be working",35963_0,working,2
it works fine,35974_0,works fine,5
"the new procedural change that just got suggested, which I think is a good idea is that um,",35989_0,procedural change suggested good idea,29
"uh, sets of digits, but um, I think that way we\'ll",35995_0,uh sets digits,0
"So, I th- I think - I think we should start doing that",35999_0,start,63
"so, uh, let\'s see, we were having a discussion the other day,",36001_0,uh discussion day,67
 Wh- what - what were some of the points again about that?,36009_1,wh points,57
"Adam, um, and was thinking of",36015_0,adam thinking,6
"um, since we\'ll have a new - this new student di- does wanna work with us,  th- the guy that was at the last meeting",36018_0,student wan work guy meeting,37
What a deal,36022_0,deal,16
"Anyway, I thought O_K, maybe we should have enough data so that if he starts -",36033_0,thought data starts,46
"that we\'d have, you know, enough data to work with",36036_0,data work,46
"But, um, Jane and Adam brought up a lot of good points that",36038_0,jane adam brought lot good points,61
just posting a note to Berkeley people to have them come down here has some problems in that you m- you need to make sure that the speakers,36039_0,posting note berkeley people problems speakers,58
"So, I thought about that and I think it\'s still possible, um,",36041_0,thought,4
"to figure out what type of meeting it is and to do any kind of higher level work on it, like",36051_0,figure type meeting kind higher level work,31
"giving a report on what they did that week, versus coming to a decision and so forth",36056_0,report week versus coming decision,53
"Then I was um, talking to Morgan about some  new proposed work in this area,",36057_0,talking morgan proposed work area,1
sort of a  separate  issue from what the student would be working on,36058_0,sort separate issue student working,19
I was thinking of doing,36060_0,thinking,6
from the interaction that can be measured from,36067_0,interaction measured,0
"sort of hot spots in the meeting, or things where stuff is going on that might be important",36071_0,sort hot spots meeting things stuff,62
for someone who didn\'t attend to   listen  to,36072_0,attend listen,21
"uh, regard, I thought we definitely w- will need -",36074_0,uh regard thought,4
"Um, and then there are some others that menti- that Morgan mentioned, like the front-end meeting  and maybe a networking  group meeting",36079_0,menti morgan mentioned meeting networking group meeting,26
So if that were the case then I think we\'d have enough,36084_0,case,0
"have a good grasp on what does it mean to summarize, but -",36090_0,good grasp summarize,8
"See, I\'ve never listened to the data for the front-end  meeting",36099_0,listened data meeting,46
" So, in general, I was thinking more data but also",36104_1,general thinking data,46
work where at least half the participants each time are the same,36109_0,work half participants time,17
"give you the other side to that cuz I ca- because I - I don\'t disagree with that,",36112_0,cuz disagree,64
but I think there is a complimentary piece to it too,36113_0,complimentary piece,0
"I think I would  also  very much like us to have a fair amount of  really  random scattered meetings, of somebody coming down from campus, and -",36124_0,fair random scattered meetings coming campus,0
"Yeah, I definitely agree with that",36131_0,yeah agree,24
Can I - can I say about that - that the - the issues that I think Adam and I raised were more a matter of advertising so that you get more native speakers,36136_0,issues adam raised matter advertising native speakers,0
"Because I think if you just say - an- And in particular, my suggestion was to advertise to linguistics grad students because",36137_0,suggestion advertise linguistics grad students,0
"But you know, I think",36141_0,,0
I\'ve been - I\'ve I - I\'ve gathered data from undergrads at - on campus and if you just post randomly to undergrads I think you\'d get  such  a mixed bag that it would be hard to know how much conversation you\'d have at all,36142_0,gathered data undergrads campus post randomly undergrads mixed bag hard conversation,46
"O_K, uh, first place, I - I - I don\'t think we\'d just want to have random people come down and talk to one another, I think",36146_0,uh place random people talk,56
there should be a meeting that has some goal and point cuz I - I think that\'s what we\'re,36148_0,meeting goal point cuz,54
 That\'s I think what we - and I agree with,36151_1,agree,24
I was thinking more in terms of talking to professors,36159_0,thinking terms talking professors,6
"I think that for some time now, going back through BeRP I think that we have had speakers that we\'ve worked with who had non-native accents",36170_0,time berp speakers worked native accents,51
and I th- I think that -,36172_0,,0
"I mean, I deal with people",36177_0,deal people,16
"I think sometimes people,",36180_0,people,56
"Well, e- I just think, but you know, it\'s like when you get into the graduate level,",36186_0,graduate level,0
We all had the same thought,36187_0,thought,4
" Well, I think that, um -",36195_0,,0
I think that the only thing we should say in the advertisement is that the meeting should be held in English,36196_0,thing advertisement meeting held english,26
And - and I think,36198_0,,0
I - I think it\'s probably O_K if a few of the people don\'t have,36200_0,people,56
"O_K, now can I - can I say the other aspect of this from my perspective which is that",36202_0,aspect perspective,0
"You know this - The idea of computational linguistics and probabilistic grammars and all may not be the focus of this group,",36208_0,idea computational linguistics probabilistic grammars focus group,29
"or an hour invested in preparing the data,",36213_0,hour invested preparing data,46
"Well, that\'s pretty much what you\'re going to have in the  networking  group",36231_0,pretty networking group,65
because - because they - most - the network group is almost entirely Germans and  Spaniards,36234_0,network group germans spaniards,15
"But the thing is, I think that these people are of high enough level in their - in their language proficiency that -  And I\'m not objecting to  accents",36237_0,thing people high level language proficiency objecting accents,11
"   I - I\'m - I\'m just thinking that we have to think at a - at a higher level view, could we have a language model, a - a grammar -",36237_1,thinking higher level view language model grammar,6
"I\'m - I - what I think is that why not have the corpus, since it\'s so expensive to put together, uh, useful for the widest",36248_0,corpus expensive uh widest,10
"I mean, it - it - I think that if we\'re aiming at - at uh, groups of graduate students and professors and so forth who are talking about things together,",36259_0,aiming uh groups graduate students professors talking things,33
 And my point in m- in my note to Liz was,36263_1,point note liz,58
I think that undergrads are an iff- iffy population,36266_0,undergrads iff iffy population,0
"I definitely agree with that, I mean, for this purpose",36267_0,agree purpose,24
"Well, not to mention the fact that I would be",36270_0,mention fact,0
"  Well, Morgan, you were mentioning that Mari may not",36289_1,morgan mentioning mari,0
 I think we\'d have a better chance of -,36301_1,chance,0
I think we\'d need a real motivated,36302_0,real motivated,0
partner to do that,36303_0,partner,0
just a thought if they end up not using the - the hardware,36311_0,thought hardware,4
"Yeah, I mean the other thing that I was  hoping  to do in the  first  place was to turn it into some kind of portable thing so you could wheel it around",36312_0,yeah thing hoping place turn kind portable thing wheel,11
I - I think it\'s not out of the question,36331_0,question,0
"Yeah, I think it would be interesting because then we could regularly get another meeting",36333_0,yeah interesting regularly meeting,26
"But I - I - I think you need, uh, another portable  thing ",36339_0,uh portable thing,11
"a- another portable equipment to - to do, eh, more e- easier the recording process, eh,  out  from ICSI",36341_0,portable equipment eh easier recording process eh icsi,42
I think if we - if we wanna just record with,36353_0,wan record,37
"Actually, that\'s a int- that raises an interesting point that came up in our discussion that\'s maybe worth repeating",36359_0,int raises interesting point discussion worth repeating,25
"We realized that, um, when we were talking about this that, O_K, there\'s these different things that we want to do with it",36360_0,realized talking things,33
"We realized in discussion that the other thing is,",36367_0,realized discussion thing,25
"Right, I mean, I c- I think there\'s -",36372_0,,0
"but I think that any  data that we spend a lot of effort  to collect,",36390_0,data spend lot effort collect,46
"you know, each person who\'s interested in - I mean, we have a cou- we have a bunch of different, um, slants and perspectives on what it\'s useful for,",36392_0,person interested cou bunch slants perspectives,0
I think there w-,36398_0,,0
"And so  I\'m looking and thinking, ""Well I\'d be  glad  to",36401_0,thinking glad,6
"And other people need to do that for themselves, uh, h-",36405_0,people uh,56
or at least discuss it so that we can find some optimal - ,36407_0,discuss optimal,40
"But I think that - I\'m raising that cuz I think it\'s relevant  exactly  for this idea up there that if you think about, ""Well, gee, we have this really complicated setup to do,"" well maybe you  don\'t",36409_0,raising cuz relevant idea gee complicated setup,29
"Well, I agree with  Jane, though, on the other hand that -",36417_0,agree jane hand,61
what you - what I was thinking is long term what would be neat is,36423_0,thinking long term neat,60
I   do  think that long term you should always try to,36432_0,long term,60
I - I - I agree,36440_0,agree,24
but I - I think that,36442_0,,0
I think the  first  priority should be to pry  to get - try to get people to come here,36456_0,priority pry people,56
I thought the free lunch idea was a  great  idea,36466_0,thought free lunch idea great idea,29
"Yeah, I thought so too",36467_0,yeah thought,4
"Yeah, I - And I think we can get people to come here, that -",36468_0,yeah people,56
"Well, I was thinking, lunch after",36480_0,thinking lunch,6
And they\'d have to do their digits or they don\'t get dessert,36481_0,digits dessert,0
"Yeah, they have to do their digits or they don\'t  get - they don\'t  get their food",36482_0,yeah digits food,3
They\'ve decided not to do - go into speech,36492_0,decided speech,48
"So I\'m not sure whether they\'ll still be so willing to volunteer, but I\'ll send an email and ask",36493_0,volunteer send email,0
"Well,  I  thought that was -",36521_0,thought,4
"I thought he meant, ""Give them a music C_D,"" like they g-",36522_0,thought meant music,4
If you\'re having some planning meeting of some sort and uh you\'d like -,36529_0,planning meeting sort uh,30
"I think it would just be fun, you know, if nothing else, you know",36536_0,fun,0
It - it - it also I think builds up towards the  goal,36541_0,builds goal,0
"No, I think that\'s a great idea, actually",36549_0,great idea,29
I thought we could point that out,36559_0,thought point,54
" So that was that topic,",36604_1,topic,32
"then um, I guess another topic would be",36606_0,guess topic,32
to do - to uh copy it,36615_0,uh copy,10
And it\'ll take  another  eleven to do the clone,36616_0,clone,0
" I mean, it - it - it - The other direction is fast,",36645_1,direction fast,0
but this direction is really slow,36649_0,direction slow,0
"Now, what will uh - Is the plan to g-  to -",36666_0,uh plan,20
Wonderful,36687_0,wonderful,0
I asked him to check out and see if it was O_K,36727_0,asked check,23
to do that,36739_0,,0
 I think it\'s D_I,36755_1,,0
Th- I think it\'s D_C- It\'s whatever that one is,36758_0,,0
"Uh, so, yeah, I think - I think we\'re O_K, until we get the new disk",36769_0,uh yeah disk,3
That\'s probably the best thing to do,36780_0,thing,11
 my  agenda was just to hear - hear an update on,36795_0,agenda hear hear update,0
The result of my work during the last days,36800_0,result work days,1
"Eh, and the - the last, eh, days, eh, I work, eh, in my house,",36804_0,eh eh days eh work eh house,42
"thinking, reading eh, different things about the - the Meeting Recording project",36807_0,thinking reading eh things meeting recording project,42
"And I have, eh, some ideas",36809_0,eh ideas,38
My - my idea is to work -,36836_0,idea work,29
"I don\'t know, eh, if, eh, it will be possible because I - I - I haven\'t a lot - eh, enough time to - to - to work",36839_0,eh eh lot eh time work,42
"is very interesting to - to work  in - in the line of, eh, automatic segmenter",36842_0,interesting work eh automatic segmenter,42
"in my opinion,  we need eh, eh, a reference  eh session",36845_0,opinion eh eh reference eh session,42
And so are you planning to do that or have you done that already?,36848_0,planning,30
Have you done that or are you planning to do that?,36852_0,planning,30
"No, I - I - plan to do that",36853_0,plan,20
" I plan - I plan, but eh,",36855_0,plan plan eh,20
about the - my ideas,36864_0,ideas,38
I\'ve gotta ask you,36982_0,,0
"No, but there\'s - but, I think she\'s saying ""Where do you - In these three categories, where do you put the instances",37009_0,categories instances,0
 We just wondered -,37055_1,wondered,0
"to consider all the - all the information, you - you mentioned before",37067_0,mentioned,39
"Yeah, I - I don\'t think we were asking for that",37069_0,yeah,3
I - I think what you m-,37089_0,,0
I think what you mean  is that it\'s nonspeech segments that don\'t have impulsive noises,37090_0,nonspeech segments impulsive noises,0
"I - I - I - I - I think - I - I think, eh,",37103_0,eh,42
I am going  to prepare,37133_0,prepare,49
I ha- I  have prepare ,37149_0,ha prepare,49
"I have to - because,  in general the pitch tracker, doesn\'t work ",37165_0,general pitch tracker work,1
" some ideas eh, similar to the linear discriminant analysis",37204_0,ideas eh linear discriminant analysis,38
A- another possibility it to use eh a netw- netw- a neural network,37219_0,possibility eh netw netw neural network,45
if you - you use the - the neural network?  If -,37223_0,neural network,45
"Well, using something simpler first I think is probably fine",37243_0,simpler fine,0
"Well, this isn\'t tru- if - if - if you  really  wonder what different if - if -",37245_0,tru,0
"I - I mean, I think the other thing that one - I mean, this is, I think a good thing to do, to sort of look at these things at least -",37262_0,thing good thing sort things,11
That I think will give you a lot of insight of what is  likely  to be a useful feature when you put it into a more complicated classifier,37276_0,lot insight feature complicated classifier,59
But I think this is a good place to start,37291_0,good place start,63
"But don\'t uh- anyway, this is my suggestion, is don\'t just, you know,",37292_0,uh suggestion,10
"Uh, I think to know what it\'s - to have a better feeling for what it\'s doing, you wanna  look  at it",37298_0,uh feeling wan,37
"And, uh, in L_P_C, uh, the thing to particularly look at is, I think - is something ",37301_0,uh uh thing,7
Can I ask? It  strikes  me that there\'s  another  piece of information,37307_0,strikes piece,0
eh I think ,37327_0,eh,42
I think  the Ike criterion,37338_0,ike criterion,0
" That , you know,  I - I - I think is the idea",37373_0,idea,29
"O_K, but, I - I think - in  any  event we\'re agreed that the first step is -",37419_0,event agreed step,0
"Right? So again, I think",37426_0,,0
"the first thing to do to detect the overlaps is to look at these uh, in - in - in -",37427_0,thing detect overlaps uh,11
"again, the things you\'ve written up there I think are way too - way too big",37431_0,things written big,33
All you\'ll be able to do is put it into a classifier and see how well it does,37435_0,classifier,0
Whereas I think if you have things - if you pick one or two dimensional,37437_0,things pick dimensional,33
"first- and second-order cepstral coefficients, right? And with L_P_C, I think L_P_C per se isn\'t gonna tell you much more than - than - than the other, maybe",37448_0,order cepstral coefficients,0
"uh, I think you\'ll have much more of a sense of ""O_K, I now have -",37461_0,uh sense,10
"and I would eh like to - to know what eh, your opinion",37473_0,eh eh opinion,42
I - I w- I - I will pretend to do  with eh eh,37476_0,pretend eh eh,42
"Yeah, I think that that\'s a good way to start",37495_0,yeah good start,63
eh  will work   exactly   with the  eh P_D_A files,37499_0,eh work eh files,42
"Well, I think that would be an interesting  result",37501_0,interesting result,0
"Well, I think - I think - I think it\'s not a - it\'s not at all unreasonable",37507_0,unreasonable,0
"in the  high  signal-to-noise ratio, then there\'s no point in putting them into the  low  signal ratio, one would  think,  anyway",37510_0,high signal noise ratio point putting low signal ratio,54
"And then if you can get that to work well,",37524_0,work,1
"And then, and you and you know, they won\'t work as well, but",37526_0,work,1
 But it- I think it would be interesting to try a  couple  with  both,37533_1,interesting couple,0
